TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Test_SEL1,Be vao 3,RW_Selection,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,Test_SEL2,Be vao 4,RW_Selection,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,Test_SEL3,Be vao 5,RW_Selection,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,Test_SEL4,Be vao 6,RW_Selection,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ1,Chau len ba 2,RW_Sequence,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ2,Chau len ba 3,RW_Sequence,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ3,Chau len ba 4,RW_Sequence,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ4,Chau len ba 5,RW_Sequence,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ5,Chau len ba 6,RW_Sequence,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ6,Chau len ba 7,RW_Sequence,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,OP_TestSEQ1,,RW_Selection,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,OP_TestSEQ2,,RW_Selection,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,OP_TestSEQ3,,RW_Selection,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,OP_TestSEQ4,,RW_Selection,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,OP_TestSEQ5,,RW_Selection,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,OP_TestSEQ6,,RW_Selection,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ1_S,,Status,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ2_S,,Status,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ3_S,,Status,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ4_S,,Status,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ5_S,,Status,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ6_S,,Status,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ1_SP,,SETPOINTS[100],,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ2_SP,,SETPOINTS[100],,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ3_SP,,SETPOINTS[100],,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ4_SP,,SETPOINTS[100],,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ5_SP,,SETPOINTS[100],,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ6_SP,,SETPOINTS[100],,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ1_HMI_SP,,SETPOINT100,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ2_HMI_SP,,SETPOINT100,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ3_HMI_SP,,SETPOINT100,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ4_HMI_SP,,SETPOINT100,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ5_HMI_SP,,SETPOINT100,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,TestSEQ6_HMI_SP,,SETPOINT100,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV100,"Cream Mixing, Mix Tank, product inlet valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV103,"Cream Mixing, Mix Tank, cip pulse valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV104,"Cream Mixing, Mix Tank, circulation line flush valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV105,"Cream Mixing, Mix Tank, circulation line CIP-R valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV120,"Cream Mixing, Mix Tank, product inlet CIP valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV121,"Cream Mixing, Mix Tank, sight glass CIP valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV122,"Cream Mixing, Mix Tank, mixproof chamber CIP valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV130,"Cream Mixing, Mix Tank, hot water valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV140,"Cream Mixing, Mix Tank, process water valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV200,"Cream Mixing, Mix Tank, outlet valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV201,"Cream Mixing, Mix Tank, Circulation line outlet valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV202,"Cream Mixing, Mix Tank, transfer line oulet valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV203,"Cream Mixing, Mix Tank, flaker filling valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV204,"Cream Mixing, Mix Tank, CIP-R valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AV205,"Cream Mixing, Mix Tank, drain valve",RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AVSpare1,Spare valve,RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AVSpare2,Spare valve,RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
TAG,,G1E1W01AVSpare3,Spare valve,RW_Valve,,"(Constant := false, ExternalAccess := Read/Write)"
